typing_speed,mouse_movement,location,location_encoded
90.63769610499776,105.18766117276616,New York,81
38.01412442933694,300.0812661384355,New York,81
91.50096336790158,188.99854333434138,California,10
76.515815034574,270.5713077331814,Washington,33
81.68469735638527,371.193278129415,Florida,84
59.116806225723494,351.5165366057559,Texas,22
116.88234772828258,65.57919283233731,New York,81
72.63716662218229,345.9732076749933,Washington,33
102.83006306738758,249.84677104174358,Washington,33
59.616776736908356,293.58325300205945,Texas,22
60.77891026444055,314.83001760855325,Florida,84
104.68506868970225,399.6978125731113,Florida,84
34.63213317096468,359.97383063356665,Florida,84
43.53821824278401,68.90983720950615,New York,81
111.46007275554408,372.99906046971205,New York,81
106.67799618069141,50.52050251283846,New York,81
57.62571545027327,310.75719672146784,Florida,84
113.49871037856292,373.46297352376837,Texas,22
111.13154539875774,215.85204013347447,Texas,22
33.23689819849339,355.732998495939,California,10
71.32312815247175,205.49194968239064,Florida,84
102.00514271933027,290.48873414428965,California,10
89.58590587896273,104.81689858731767,New York,81
99.33335398920612,399.36156587878435,New York,81
65.03811648716683,371.61976310863633,Florida,84
102.51172215014596,214.27413012888957,California,10
119.08044939412677,237.1627297303371,Texas,22
46.73008322667346,78.15700348462293,Washington,33
102.69372365412599,358.40898741619674,New York,81
111.11065379625876,157.70603158858663,Florida,84
56.37060607519772,369.1009236581873,Florida,84
97.71637841574683,319.99657980107617,Texas,22
37.53425185751358,262.75779222796683,Texas,22
58.375440209000345,296.32031696310173,California,10
37.79425480577862,270.55659548576114,Washington,33
39.83838565625681,232.6578500059498,California,10
105.88175703560276,176.86010377016794,Florida,84
92.06501791374149,357.70620179610927,Washington,33
48.0548965555725,142.1259965477608,Texas,22
45.196865076113745,211.18831329355498,Texas,22
88.16468842777005,168.83932593012747,New York,81
72.20539844757519,216.4727808961947,Washington,33
62.77164750415752,250.15935172500198,Florida,84
88.55401682327826,180.5273391443754,California,10
104.5169507708508,397.36230127943537,Texas,22
74.10986599284733,87.33103061726854,California,10
105.09248403300016,179.55715023275974,Washington,33
76.03793014237951,134.64933136187537,Florida,84
66.69531330154348,396.1749416618681,Florida,84
84.52502212029898,68.23549232045914,Florida,84
91.76959314337859,314.8013301547404,California,10
82.43024162737302,230.9429094004586,California,10
106.4802734926521,366.0231075908609,California,10
119.90236310879202,356.81709010583455,California,10
114.63508394911241,89.25184254752062,Washington,33
52.45820912063657,193.95888373072796,California,10
104.99577043826984,206.08736240209294,Washington,33
78.11663089564291,275.40668803616506,Washington,33
36.59746143734989,60.012132548868244,Washington,33
69.5964533506478,178.19465980355602,California,10
91.90730861750035,120.69592589652422,New York,81
106.45943643737765,201.77144986674082,California,10
94.07958024226892,142.18813437704165,Florida,84
59.52614777763688,59.06958566884769,New York,81
58.356251294100964,312.989896746163,Texas,22
102.54235403342685,360.16341570289836,New York,81
46.48229942226759,165.08097911465978,Florida,84
82.53985258890405,89.57571205764033,Texas,22
116.03165467396718,361.28682571118776,New York,81
78.58980848409752,344.8756922802676,Texas,22
110.36340803322062,118.27284481643515,Florida,84
57.16311530402426,208.216777524787,New York,81
73.78953425421813,183.21586552497513,Florida,84
98.34458606566001,188.65348982997085,California,10
32.270949456547704,73.5125452722434,California,10
117.61148678345734,247.20062067598943,Texas,22
72.24226588419616,166.4628184286293,Texas,22
108.78487871225161,227.45223943170453,New York,81
69.28222068585478,193.1130453319922,California,10
50.228891056292674,116.70500018018849,Texas,22
53.65585334138306,86.73439824301238,Florida,84
70.25626002370956,70.9878859430004,Florida,84
77.30187835213852,227.027928751821,Washington,33
30.627038421705517,173.29645854625667,Texas,22
107.62897430876733,279.15111031847573,New York,81
109.81536890396997,359.5471047868767,New York,81
77.56053495612157,160.2455325507397,Florida,84
117.81517295907636,256.7390315613588,Texas,22
59.59436295531164,262.84641802714805,Florida,84
108.15465193461966,194.59839973055338,Florida,84
117.93943654940533,281.3310400078992,Washington,33
69.3700104130096,383.1596958805943,Florida,84
40.46617565919456,360.08085949942705,Washington,33
59.07228281705879,352.2277932507647,Texas,22
86.4837758032617,282.1992897205206,California,10
52.96399541709586,344.3584705169643,Washington,33
64.9467880142513,149.9863858625376,Texas,22
96.4172067523583,164.41967631303982,New York,81
32.067494508803705,389.6147348288436,Texas,22
48.121811924779806,84.07495649167929,Texas,22
59.59099141324697,368.9057997255282,Texas,22
57.27482158371353,126.6563888154177,Florida,84
50.38419995398028,83.53447608140813,Florida,84
94.66118623322836,340.61690419487695,New York,81
35.308031818609265,355.4343805491471,Washington,33
112.74826059901552,242.51799027666695,Florida,84
67.97177809552142,88.09539551596438,California,10
86.58118534656859,270.39893385122434,Texas,22
30.347645226262912,386.7459710776368,Washington,33
114.12492102549207,302.0246160114508,New York,81
42.8004286993424,369.4233237951945,California,10
103.49748559824418,335.14656210344384,California,10
66.70920552912719,131.77031563789683,New York,81
42.80558873617859,342.22537287361894,Florida,84
39.23670081615502,311.8486154281025,Florida,84
118.56100146352259,298.4819030659375,New York,81
55.64355731720316,106.1723810484968,California,10
60.64670911989686,388.8921204535286,Texas,22
96.41224616917887,132.55838108070745,California,10
98.88471601533108,177.3089547646407,California,10
68.0172952748202,148.48153034479785,Texas,22
45.571406207199004,156.95499142121776,Texas,22
30.125735731515093,167.10337328288642,New York,81
90.71447245458944,96.59473906323393,New York,81
49.44817842728958,170.8996649866618,Florida,84
118.92038769871058,190.34278209012908,New York,81
51.08875194970838,125.2186177557931,New York,81
101.80352822806306,362.36352820580464,Florida,84
110.01556482631442,141.09675224920716,Florida,84
34.02032735673714,73.28892693491004,Texas,22
35.88566879235525,253.70788098406547,Washington,33
46.72577990162402,185.0458761152905,Washington,33
92.39530084790842,224.7519964202254,Washington,33
72.8980328188372,317.8871141985313,Washington,33
105.57729996056985,59.65372714996349,Texas,22
32.727187364985205,280.8038402613365,California,10
48.56827802996754,387.4827962181346,New York,81
64.9320014616836,219.29229219946373,Washington,33
